test_index,posterior_probability,predictive_entropy,status
0,0.5318792821254272,0.6911132239346672,incorrect
1,0.4968655312723948,0.69312753064283,correct
2,0.49218335148492826,0.69302497559383,correct
3,0.31554104107565506,0.6234626211435446,incorrect
4,0.6354498752704679,0.6559913255731695,incorrect
5,0.6489525291565674,0.6480926542460084,correct
6,0.6027444252572565,0.6718831948716282,incorrect
7,0.45738754327807896,0.6895111285248954,correct
8,0.6594685656494093,0.6413873460880326,incorrect
9,0.6201249373575952,0.6640029305742257,correct
10,0.5869733591987935,0.6779412186853748,correct
11,0.5204517315894183,0.6923104004835818,correct
12,0.6589166507826356,0.6417514434211131,incorrect
13,0.5214563372422668,0.6922261489430805,correct
14,0.4329646829218621,0.6841325927569457,incorrect
15,0.618188200106085,0.6649441277439883,incorrect
16,0.43724910351924395,0.6852510254689301,correct
17,0.6451419520138361,0.6504022012164192,correct
18,0.3411334468857806,0.6417844256581328,correct
19,0.5972271413302432,0.6741199584687085,incorrect
20,0.4796779856656616,0.6923209844683307,correct
21,0.508845298607503,0.6929906937821593,incorrect
22,0.35478918323645287,0.6503610267803729,correct
23,0.518543685325013,0.69245928628176,correct
24,0.4272698788852954,0.6825302126619105,incorrect
25,0.32330316435936995,0.6293342640720089,incorrect
26,0.3298650621696249,0.6340830335777047,incorrect
27,0.64971867051473,0.6476206190901252,incorrect
28,0.38417786202089216,0.6660724007623502,correct
29,0.27162992502063477,0.5848732695044532,correct
30,0.6179035386728625,0.6650811245221624,incorrect
31,0.5028042273925265,0.693131453094956,correct
32,0.5980611866413155,0.6737899611268694,correct
33,0.6928318691460121,0.6168160537638481,incorrect
34,0.591259499097163,0.6763968527298375,correct
35,0.4556779601282502,0.6892131324993684,correct
36,0.3413468450590035,0.641924793129482,incorrect
37,0.7786370270615754,0.5286276255802465,correct
38,0.4308932752777893,0.6835650567302372,incorrect
39,0.48518883464430457,0.6927083751344012,incorrect
40,0.3958236969342906,0.6712819426928469,incorrect
41,0.6202052435066084,0.6639635605642686,correct
42,0.5603087940449591,0.6858551373418093,correct
43,0.3258423294139852,0.6311950600188736,incorrect
44,0.4395397386062185,0.6858183727645437,correct
45,0.3058513209781903,0.6157408938450326,incorrect
46,0.38800866590582167,0.6678489994394012,incorrect
47,0.5506736920882033,0.6880027064792684,correct
48,0.4660156058043517,0.690835520655305,correct
49,0.38937737739369055,0.668468765244332,correct
50,0.6560890849338462,0.643595547684569,correct
51,0.6519541653061054,0.6462285339647107,incorrect
52,0.5278324132632592,0.6915970930143454,incorrect
53,0.5898048437517655,0.6769294981337284,correct
54,0.6033457025189684,0.6716317592294553,correct
55,0.6227939279257955,0.6626797819912014,incorrect
56,0.4836984258446494,0.6926156037220709,incorrect
57,0.47736405159432915,0.6921220578994324,correct
58,0.502944207363869,0.6931298437457538,incorrect
