method,features,posterior_draws,accuracy,auc,f1,brier,ece_10bin
L2 Logistic MAP,20,0,0.5933333333333334,0.6232444444444445,0.5933333333333334,0.238664984342356,0.03088846703221336
Bayesian Logistic Laplace,20,600,0.5916666666666667,0.6231666666666666,0.593698175787728,0.2386663376302228,0.035667297325544904
