method,selected_features,train_time_sec,predict_time_sec,accuracy,balanced_accuracy,auc,f1,feature_selection,k,classifier
L1 Logistic + Logistic Regression,200,0.01865724998060614,0.00599154201336205,0.56,0.56,0.6045444444444444,0.5555555555555556,L1 Logistic,200,Logistic Regression
L1 Logistic + Linear SVM,200,0.02964695799164474,0.00412908400176093,0.555,0.5549999999999999,0.6052333333333333,0.5497470489038786,L1 Logistic,200,Linear SVM
L1 Logistic + RBF-SVM,200,1.5171722500235774,0.23329033300979063,0.5733333333333334,0.5733333333333334,0.615261111111111,0.569023569023569,L1 Logistic,200,RBF-SVM
L1 Logistic + Random Forest,200,0.4456440830253996,0.054964665963780135,0.6216666666666667,0.6216666666666666,0.70095,0.6247933884297521,L1 Logistic,200,Random Forest
L1 Logistic + Gradient Boosting,200,6.653021542006172,0.006645291985478252,0.6816666666666666,0.6816666666666666,0.7505777777777778,0.6884176182707994,L1 Logistic,200,Gradient Boosting
L1 Logistic + Logistic Regression,500,0.269662500009872,0.009144624986220151,0.58,0.58,0.5994111111111111,0.5757575757575758,L1 Logistic,500,Logistic Regression
L1 Logistic + Linear SVM,500,0.16783300001407042,0.009740915964357555,0.58,0.5800000000000001,0.6021222222222222,0.5771812080536913,L1 Logistic,500,Linear SVM
L1 Logistic + RBF-SVM,500,3.3628782909945585,0.49098275002324954,0.5933333333333334,0.5933333333333334,0.6307555555555555,0.5892255892255892,L1 Logistic,500,RBF-SVM
L1 Logistic + Random Forest,500,0.6467918750131503,0.08349941699998453,0.72,0.72,0.8039611111111111,0.697841726618705,L1 Logistic,500,Random Forest
L1 Logistic + Gradient Boosting,500,16.345307249983307,0.009533749951515347,0.755,0.755,0.8395333333333334,0.7554076539101497,L1 Logistic,500,Gradient Boosting
Random Forest + Logistic Regression,5,0.00986074999673292,0.0008160420111380517,0.5966666666666667,0.5966666666666667,0.6228444444444444,0.5939597315436241,Random Forest,5,Logistic Regression
Random Forest + Linear SVM,5,0.002872832992579788,0.000769167032558471,0.5966666666666667,0.5966666666666667,0.6229333333333333,0.5939597315436241,Random Forest,5,Linear SVM
Random Forest + RBF-SVM,5,0.3808934999979101,0.06266212498303503,0.8,0.8,0.8853333333333333,0.8,Random Forest,5,RBF-SVM
Random Forest + Random Forest,5,0.21168054203735664,0.07107454200740904,0.7833333333333333,0.7833333333333333,0.8688666666666667,0.7818791946308725,Random Forest,5,Random Forest
Random Forest + Gradient Boosting,5,0.2929477089783177,0.0026827079709619284,0.735,0.735,0.8056055555555555,0.7327731092436974,Random Forest,5,Gradient Boosting
Random Forest + Logistic Regression,10,0.007219541002996266,0.0010813749977387488,0.5816666666666667,0.5816666666666667,0.6306333333333333,0.5851239669421487,Random Forest,10,Logistic Regression
Random Forest + Linear SVM,10,0.00469654198968783,0.0008978330297395587,0.58,0.5800000000000001,0.6307,0.5827814569536424,Random Forest,10,Linear SVM
Random Forest + RBF-SVM,10,0.3414597910013981,0.0497169999871403,0.8633333333333333,0.8633333333333333,0.9394444444444445,0.8610169491525423,Random Forest,10,RBF-SVM
Random Forest + Random Forest,10,0.224557250039652,0.0710345419938676,0.865,0.865,0.9327888888888889,0.8652246256239601,Random Forest,10,Random Forest
Random Forest + Gradient Boosting,10,0.484490167000331,0.0030488340416923165,0.7816666666666666,0.7816666666666667,0.8498611111111111,0.7798319327731092,Random Forest,10,Gradient Boosting
Random Forest + Logistic Regression,20,0.011155791988130659,0.0016685830196365714,0.5983333333333334,0.5983333333333334,0.6243000000000001,0.5976627712854758,Random Forest,20,Logistic Regression
Random Forest + Linear SVM,20,0.0049392919754609466,0.0015203329967334867,0.5966666666666667,0.5966666666666667,0.623488888888889,0.5966666666666667,Random Forest,20,Linear SVM
Random Forest + RBF-SVM,20,0.3925047499942593,0.049078249954618514,0.8883333333333333,0.8883333333333333,0.9524666666666667,0.8892561983471075,Random Forest,20,RBF-SVM
Random Forest + Random Forest,20,0.22576100000878796,0.07178016600664705,0.8916666666666667,0.8916666666666666,0.9637888888888888,0.8922056384742952,Random Forest,20,Random Forest
Random Forest + Gradient Boosting,20,0.8847750829881988,0.003464333014562726,0.8066666666666666,0.8066666666666666,0.882927777777778,0.8060200668896321,Random Forest,20,Gradient Boosting
Random Forest + Logistic Regression,50,0.02271129103610292,0.0016525409882888198,0.59,0.5900000000000001,0.6124888888888889,0.5830508474576271,Random Forest,50,Logistic Regression
Random Forest + Linear SVM,50,0.00949683302314952,0.002288915973622352,0.5916666666666667,0.5916666666666667,0.6144555555555555,0.5840407470288624,Random Forest,50,Linear SVM
